customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUS00001,Male,0,Yes,No,42,Yes,No,DSL,No,Yes,Yes,One year,Yes,Electronic check,72.56,3052.17,No
CUS00002,Female,1,Yes,Yes,68,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,Mailed check,111.55,7583.53,Yes
CUS00003,Male,0,No,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),26.39,1642.77,No
CUS00004,Male,0,Yes,No,69,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),64.57,4458.28,No
CUS00005,Male,0,Yes,No,64,No,No phone service,Fiber optic,No,Yes,Yes,Month-to-month,No,Electronic check,29.01,1851.24,No
CUS00006,Female,1,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),106.36,7012.47,Yes
CUS00007,Male,0,Yes,No,53,Yes,No,Fiber optic,No,No,No,Two year,Yes,Bank transfer (automatic),31.67,1680.04,No
CUS00008,Male,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Month-to-month,No,Electronic check,26.97,946.33,Yes
CUS00009,Male,0,No,No,70,Yes,Yes,Fiber optic,No,No,No,One year,Yes,Credit card (automatic),114.38,8000.14,Yes
CUS00010,Female,0,No,No,14,Yes,No,Fiber optic,No,Yes,No,Two year,No,Electronic check,74.33,1037.99,No
CUS00011,Male,0,No,No,17,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,No,Electronic check,100.59,1714.3,Yes
CUS00012,Male,0,No,No,3,Yes,No,Fiber optic,Yes,No,No,Two year,No,Mailed check,65.03,202.94,No
CUS00013,Male,0,No,No,10,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),61.56,616.02,Yes
CUS00014,Male,0,No,No,5,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),109.16,546.08,No
CUS00015,Female,0,Yes,No,50,Yes,Yes,DSL,No,No,No,Month-to-month,No,Credit card (automatic),116.99,5847.24,No
CUS00016,Male,0,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,Mailed check,79.85,4558.89,Yes
CUS00017,Female,0,No,Yes,59,Yes,Yes,DSL,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),109.82,6482.16,Yes
CUS00018,Female,0,No,No,17,Yes,No,DSL,Yes,Yes,No,Two year,Yes,Credit card (automatic),104.27,1768.38,No
CUS00019,Female,1,No,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),72.4,4782.31,Yes
CUS00020,Male,0,Yes,Yes,16,Yes,No,DSL,No,Yes,Yes,One year,Yes,Bank transfer (automatic),112.11,1790.26,No
CUS00021,Female,1,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),39.01,1282.57,No
CUS00022,Male,0,No,Yes,29,Yes,No,DSL,No,Yes,Yes,One year,No,Mailed check,106.48,3085.68,No
CUS00023,Female,0,Yes,No,18,Yes,No,DSL,No,Yes,Yes,One year,Yes,Credit card (automatic),48.94,876.62,No
CUS00024,Female,1,No,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,21.05,163.88,No
